"name","price","group"
"Hedelmä / Fruit","30","Terveelliset välipalat, jääkaappi"
"Skyr","100","Terveelliset välipalat, jääkaappi"
"Kreikkalainen jugurtti / Greek youghurt","100","Terveelliset välipalat, jääkaappi"
"Yosa","80","Terveelliset välipalat, jääkaappi"
"Yosa Sport","140","Terveelliset välipalat, jääkaappi"
"Alpro soya Youghurt","60","Terveelliset välipalat, jääkaappi"
"Alpro greek style","90","Terveelliset välipalat, jääkaappi"
"Alpro suklaavanukas / Chocolate pudding","70","Terveelliset välipalat, jääkaappi"
"A+ myslijugurtti / müsli yoghurt","130","Terveelliset välipalat, jääkaappi"
"Valio profeel / propud","120","Terveelliset välipalat, jääkaappi"
"Raejuusto / Cottage cheese","180","Terveelliset välipalat, jääkaappi"
"Vihis","100","Terveelliset välipalat, jääkaappi"
"Elovena-patukka / bar","30","Snackit"
"Alpen / Fitness patukka","50","Snackit"
"Tölkkiananas / Canned pineapple","80","Snackit"
"Nuudeli / Noodles","50","Snackit"
"Kuppinuudeli / Noodles in a cup","150","Snackit"
"Tonnikala / Canned tuna","130","Snackit"
"Elovena-puuro / porridge","40","Snackit"
"Pringlespurkki / pringles can","100","Snackit"
"Mikropopparit / Micro popcorn","40","Snackit"
"Piltti baby food","40","Snackit"
"Valkosuklaa cashew / White chocolate cashew nuts","230","Snackit"
"Cashews ","200","Snackit"
"Pähkinä/hedelmä/marjasekoitus / Nut and fruit/berry mix","180","Snackit"
"Tupla proteiinipatukka / Tupla protein bar","200","Snackit"
"Lämmin kuppi / cup-a-soup","60","Snackit"
"Snack Pot","140","Snackit"
"Tupla","60","Makeiset"
"Mars, Twix, Snickers & Daim","50","Makeiset"
"Pätkis, Suffeli, Dacapo, Ahaa, Jim, Kinder maxi, Milkyway","40","Makeiset"
"Sukulaku, Muumilaku","30","Makeiset"
"Kismet ","60","Makeiset"
"Kinder Bueno","90","Makeiset"
"Fazer patukka / bar","60","Makeiset"
"Fazer levy pieni / bar medium","180","Makeiset"
"Fazer levy / bar large","300","Makeiset"
"Fazer-konvehti / small chocolate","10","Makeiset"
"Pepelaku pepe liguorice","40","Makeiset"
"Kismet mini ","10","Makeiset"
"Limu / soda","100","Juomat"
"Novelle pullo / bottle","200","Juomat"
"Kivennäisvesi / Sparkling water can  0,33l","100","Juomat"
"Alpro Soya suklaajuoma / chocolate drink","100","Juomat"
"Oatly-suklaajuoma / chocolate drink","100","Juomat"
"Froosh smoothie","220","Juomat"
"Marli smoothie","150","Juomat"
"Frezza ","200","Juomat"
"Falafel Marrakesh","350","Pakaste"
"Thai Cube","350","Pakaste"
"Billys pizza","170","Pakaste"
"Saarioinen pizza","100","Pakaste"
"Saarioinen kasvispizza","120","Pakaste"
"Ingman tuutti","60","Pakaste"
"Magnum mini / Pirulo","60","Pakaste"
"Ville Vallaton / Eskimo","30","Pakaste"
"Kingis / Mars / Snickers / Twix sandwich","70","Pakaste"
"€5","-500","€"
"€10","-1000","€"
"€20","-2000","€"
